Organization/Person Name,Organization/Person Name URL,Location,Number of Exits,Description,Investor Type,Investment Stage,Industries,Number of Investments
HH Investments VC,https://www.crunchbase.com/organization/hh-investments,"Singapore, Central Region, Singapore",,Venture Capital firm with focus on early stage technology ventures that solve meaningful problems.,"Family Investment Office, Venture Capital","Convertible Note, Early Stage Venture, Seed",,9
Hera Capital,https://www.crunchbase.com/organization/hera-capital,"Singapore, Central Region, Singapore",1,"Hera Capital is a Registered Fund Management Company, registered with the Monetary Authority of Singapore",Venture Capital,,Finance,9
Raffle Venture Partners,https://www.crunchbase.com/organization/raffle-venture-partners,"Singapore, Central Region, Singapore",1,Raffle Venture Partners is a Singapore-based venture capital company specialized in late stage investments.,Venture Capital,Late Stage Venture,"Asset Management, Finance, Real Estate Investment",9
Plug and Play Asia Pacific,https://www.crunchbase.com/organization/plug-and-play-asia-pacific,"Singapore, Central Region, Singapore",,Plug & Play’s Asia Pacific headquarters is located in Singapore. Launched in 2010 to invest in high tech startups.,"Accelerator, Venture Capital",Early Stage Venture,"Automotive, FinTech, Hospitality, InsurTech, Internet of Things, Mobile, Retail Technology, Travel",9
Neoteny Labs,https://www.crunchbase.com/organization/neoteny-labs,"Singapore, Central Region, Singapore",4,Neoteny Labs is an early stage fund focused on consumer Internet startups in Asia and the Middle East.,Micro VC,"Early Stage Venture, Seed","Banking, Finance, Venture Capital",9
Gayo Capital,https://www.crunchbase.com/organization/gayo-capital,"Singapore, Central Region, Singapore",,Investing Tomorrow's Winner,"Accelerator, Venture Capital, Venture Debt","Convertible Note, Debt, Early Stage Venture, Seed, Venture","Agriculture, Aquaculture, Drones, Education, Impact Investing, Lifestyle, Logistics, Supply Chain Management, Waste Management",8
Asia Africa Investment & Consulting,https://www.crunchbase.com/organization/asia-africa-investment-consulting,"Singapore, Central Region, Singapore",,Asia Africa Investment & Consulting is an investment firm,Venture Capital,"Early Stage Venture, Late Stage Venture",Health Care,8
PSA Unboxed,https://www.crunchbase.com/organization/psa-unboxed,"Singapore, Central Region, Singapore",,PSA unboXed is the external innovation and Venture capital arm of PSA International.,Corporate Venture Capital,"Early Stage Venture, Seed",Venture Capital,8
Startup-O,https://www.crunchbase.com/organization/startup-o,"Singapore, Central Region, Singapore",,"Global Venture Builder - Assessment, Investment & Cross Border Scaling",Venture Capital,"Early Stage Venture, Seed","Analytics, Internet, Venture Capital",8
Cardinal Capital,https://www.crunchbase.com/organization/cardinal-capital,"Singapore, Central Region, Singapore",,"Blockchain, Cryptocurrency, Fintech",Venture Capital,"Early Stage Venture, Initial Coin Offering, Seed","Blockchain, Cryptocurrency, Finance, Financial Services, Information Technology",8
Rekanext,https://www.crunchbase.com/organization/rekanext,"Singapore, Central Region, Singapore",,Rekanext is an early stage VC fund focusing in Southeast Asia.,Venture Capital,"Early Stage Venture, Seed",,8
8capita Partners,https://www.crunchbase.com/organization/8capita-partners,"Singapore, Central Region, Singapore",2,8capita Partners is a Singapore-based venture capital firm that invests in early-stage internet and mobile companies.,Venture Capital,Seed,Venture Capital,8
Gunosy Capital,https://www.crunchbase.com/organization/gunosy-capital,"Singapore, Central Region, Singapore",,Gunosy Capital is a firm.,Corporate Venture Capital,Venture,,8
Saison Capital,https://www.crunchbase.com/organization/saison-capital,"Singapore, Central Region, Singapore",,Saison Capital is a venture capital arm of Credit Saison.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Financial Services, FinTech",7
SPH Ventures,https://www.crunchbase.com/organization/sph-ventures,"Singapore, Central Region, Singapore",,SPH Ventures is a S$100 million venture capital fund set up by Singapore Press Holdings Limited.,Venture Capital,Early Stage Venture,Venture Capital,7
Genesis Alternative Ventures,https://www.crunchbase.com/organization/genesis-alternative-ventures,"Singapore, Central Region, Singapore",1,Empowering growth and minimising dilution. Debt capital for Southeast Asia’s leading venture-backed companies.,"Venture Capital, Venture Debt","Debt, Early Stage Venture, Late Stage Venture",Venture Capital,7
Serendipity Capital,https://www.crunchbase.com/organization/serendipity-capital,"Singapore, Central Region, Singapore",,Serendipity Capital is a financial services principal investing firm.,"Private Equity Firm, Venture Capital","Early Stage Venture, Private Equity, Seed, Venture","Financial Services, FinTech, Sustainability, Venture Capital",7
Vertex Growth Fund,https://www.crunchbase.com/organization/vertex-growth-fund,"Singapore, Central Region, Singapore",,Vertex Growth Fund is an investment firm.,Venture Capital,,"Finance, Financial Services",7
VinaCapital Investment Management,https://www.crunchbase.com/organization/vinacapital-investment-management,"Singapore, Central Region, Singapore",1,VinaCapital Investment Management is the leading investment management and real estate development firm in Vietnam.,Venture Capital,,"Crowdfunding, Financial Services, Real Estate, Venture Capital",7
Accel X,https://www.crunchbase.com/organization/accel-x,"Singapore, Central Region, Singapore",,"Accel-X Pte Ltd, is a venture capital fund that invests in early stage technology companies that are highly scalable.",Venture Capital,"Early Stage Venture, Seed",Venture Capital,7
Scentan Ventures,https://www.crunchbase.com/organization/scentan-ventures,"Singapore, Central Region, Singapore",2,"Scentan Ventures is focused on the industries of Internet, IT, and Mobile, and makes strategic investments to offer assistance with such",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",,7
tryb Group,https://www.crunchbase.com/organization/tryb,"Singapore, Central Region, Singapore",,tryb Group invests in ASEAN fintech.,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity","Analytics, Financial Services, FinTech, Micro Lending, SaaS",6
Singapore Exchange Limited,https://www.crunchbase.com/organization/singapore-exchange,"Singapore, Central Region, Singapore",1,"SGX is the Asian Gateway, connecting investors in search of Asian growth to corporate issuers in search of global capital.",Corporate Venture Capital,,"Finance, Financial Services",6
The Spartan Group,https://www.crunchbase.com/organization/the-spartan-group-4202,"Singapore, Central Region, Singapore",,Spartan is a leading blockchain advisory and investment firm,Venture Capital,Early Stage Venture,Internet,6
Clermont Group,https://www.crunchbase.com/organization/clermont-group,"Singapore, Central Region, Singapore",,The Clermont Group is a private investment group,Venture Capital,,Angel Investment,6
Elev8.VC,https://www.crunchbase.com/organization/elevate-vc,"Singapore, Central Region, Singapore",,Elev8.VC is a deep tech B2B focused VC Fund based in Singapore.,Venture Capital,,,6
Far East Ventures,https://www.crunchbase.com/organization/far-east-ventures,"Singapore, Central Region, Singapore",1,Far East Ventures invests in visionary entrepreneurs that build disruptive technologies and companies at all stages in all sectors.,"Corporate Venture Capital, Family Investment Office, Venture Capital","Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture","Angel Investment, Financial Services, Impact Investing, Mobile, Venture Capital",6
Vulpes Investment Management Pte Ltd,https://www.crunchbase.com/organization/testudo-funds,"Singapore, Central Region, Singapore",1,Vulpes Investment Management is an alternative investment manager,"Hedge Fund, Venture Capital","Early Stage Venture, Late Stage Venture, Secondary Market",,6
TWIN CAPITAL ASSET MANAGEMENT,https://www.crunchbase.com/organization/twin-capital-asset-management,"Singapore, Central Region, Singapore",,"Fintech, Payment, Blockchain, Real Estate, BioTech, Agriculture, Education",Venture Capital,"Early Stage Venture, Initial Coin Offering, Post-Ipo, Secondary Market, Seed","Banking, Biotechnology, Blockchain, E-Commerce, Financial Services, FinTech, Health Care, Information Technology, Real Estate, Real Estate Investment",6
Amand Ventures,https://www.crunchbase.com/organization/amand-ventures,"Singapore, Central Region, Singapore",,Amand Ventures is an investment holding company focusing on early stage startup investments.,Venture Capital,Early Stage Venture,,6
C31Ventures,https://www.crunchbase.com/organization/c31ventures,"Singapore, Central Region, Singapore",,The venture capital arm of CapitaLand. C31 Ventures invest in technology start-us that complement the Group's real estate business.,Venture Capital,,"Real Estate, Shopping Mall",6
Fullerton Financial Holdings,https://www.crunchbase.com/organization/fullerton-financial-holdings,"Singapore, Central Region, Singapore",,Fullerton Financial Holdings is a company that specializes in financial advisory services.,Venture Capital,,Financial Services,6
Mojo Partners,https://www.crunchbase.com/organization/mojo-partners,"Singapore, Central Region, Singapore",,Mojo Partners is the family office fund of Ong Beng Seng's family.,Family Investment Office,,,6
ESP Capital,https://www.crunchbase.com/organization/esp-capital,"Singapore, Central Region, Singapore",,ESP Capital is an early stage venture capital fund.,Venture Capital,Early Stage Venture,,6
Sirius Venture Capital,https://www.crunchbase.com/organization/sirius-venture-capital-pte-ltd,"Singapore, Central Region, Singapore",,Sirius Venture Capital is an angel and venture capital investor to invest in overseas food tech companies.,Venture Capital,,"Food and Beverage, Small and Medium Businesses, Venture Capital",6
PhillipCapital,https://www.crunchbase.com/organization/phillipcapital,"Singapore, Central Region, Singapore",,"PhillipCapital is a financial organization that offers its services to retail, corporate, and institutional customers.",Venture Capital,Early Stage Venture,Financial Services,6
Khattar Holdings,https://www.crunchbase.com/organization/khattar-holdings,"Singapore, Central Region, Singapore",1,Khattar Holdings Private Limited operates as an investment holding company and is based in Singapore.,Venture Capital,,,6
BXR Partners LLP,https://www.crunchbase.com/organization/bxr-partners-llp,"Singapore, Central Region, Singapore",2,BXR Partners LLP is a venture capital company located in United Kingdom.,Venture Capital,,"Finance, Financial Services, Venture Capital",6
Rutledge Vine Capital,https://www.crunchbase.com/organization/rutledge-vine-capital,"Singapore, Central Region, Singapore",1,Rutledge Vine Capital is a venture capital firm focused on startup and seed technology companies.,Venture Capital,"Early Stage Venture, Seed",,6
Seed Myanmar,https://www.crunchbase.com/organization/seed-myanmar,"Singapore, Central Region, Singapore",,Seed Myanmar is a venture capital firm focused on early stage investments of technology.,Venture Capital,,,6
Singapore Bio-Innovations,https://www.crunchbase.com/organization/singapore-bio-innovations,"Singapore, Central Region, Singapore",3,Singapore Bio-Innovations is a venture capital firm that finances later stage investments.,Venture Capital,Late Stage Venture,,6
GENIEE,https://www.crunchbase.com/organization/geniee,"Singapore, Central Region, Singapore",,"GENIEE (TYO6562, A Member of SoftBank Group) is APAC Digital Marketing Technology and Advertising Technology Company.",Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","Ad Network, Advertising, Advertising Platforms, Digital Marketing",5
Alto Partners Multi-Family Office,https://www.crunchbase.com/organization/alto-partners-multi-family-office,"Singapore, Central Region, Singapore",,A Multi-Family Office investment partnership in Asia comprising prominent entrepreneurs and next-generation wealth,Family Investment Office,,,5
FEBE Ventures,https://www.crunchbase.com/organization/febe-ventures,"Singapore, Central Region, Singapore",,FEBE Ventures is an early stage VC fund supporting outstanding entrepreneurs in Vietnam & Southeast Asia.,Venture Capital,"Convertible Note, Early Stage Venture, Seed, Venture",,5
SMRT Ventures,https://www.crunchbase.com/organization/momentum-8119,"Singapore, Central Region, Singapore",,A corporate venture and incubation platform of SMRT Corporation.,Corporate Venture Capital,Early Stage Venture,"E-Commerce, Logistics, Travel",5
HealthXCapital,https://www.crunchbase.com/organization/healthxcapital,"Singapore, Central Region, Singapore",,Asia’s first healthtech venture capital fund,Venture Capital,Early Stage Venture,Commercial,5
Tin Men Capital,https://www.crunchbase.com/organization/tin-men-capital,"Singapore, Central Region, Singapore",,Tin Men Capital is a Venture Capital & Private Equity  Company ,Venture Capital,,"Angel Investment, B2B, Venture Capital",5
Fintonia Group,https://www.crunchbase.com/organization/fintonia-group,"Singapore, Central Region, Singapore",1,Fintonia Group is a leading FinTech venture capital firm based in Singapore that invests in FinTech companies in ASEAN and Hong Kong.,Venture Capital,,,5
Aura Group,https://www.crunchbase.com/organization/aura-group,"Singapore, Central Region, Singapore",,"Aura Group is a financial services business providing tailored wealth, funds management and corporate advisory solutions to clients.","Family Investment Office, Investment Bank, Private Equity Firm, Venture Capital","Debt, Private Equity, Venture","Accounting, Asset Management, Credit, Financial Services, FinTech, Funding Platform, Venture Capital, Wealth Management",5
Du Capital,https://www.crunchbase.com/organization/du-capital,"Singapore, Central Region, Singapore",,Du Capital is a Singapore-based multi-stage investment firm concentrated on backing companies.,Venture Capital,,"Finance, Financial Services, Venture Capital",5
OWW Capital Partners,https://www.crunchbase.com/organization/oww-capital-partners,"Singapore, Central Region, Singapore",1,"OWW Capital Partners is an investment company, contributing financially to service providers in education, healthcare, logistics, and so on.",Venture Capital,Early Stage Venture,,5
Grab Ventures,https://www.crunchbase.com/organization/grab-ventures,"Singapore, Central Region, Singapore",,An accelerator and investment unit of Grab.,Venture Capital,Early Stage Venture,Venture Capital,5
Agility Ventures,https://www.crunchbase.com/organization/agility-ventures-c6a3,"Singapore, Central Region, Singapore",,"Agility Ventures offers start-ups access to a global network of resources, and the know-how to incubate, invest and scale the best ideas.",Corporate Venture Capital,,"Asset Management, Financial Services, Logistics, Supply Chain Management, Venture Capital",5
Nullabor,https://www.crunchbase.com/organization/nullabor-vc,"Singapore, Central Region, Singapore",,"NULLABOR is a Singapore based investor in seed and growth stage ventures, predominantly focused on Southeast Asian markets.",Family Investment Office,"Early Stage Venture, Late Stage Venture, Seed",,5
Heywood and Sons,https://www.crunchbase.com/organization/heywood-and-sons,"Singapore, Central Region, Singapore",,Heywood is a company builder that co-create startups with fortune 500 companies.,Venture Capital,,"Business Development, Finance, Innovation Management, Venture Capital",5
East Pacific Capital Private Limited,https://www.crunchbase.com/organization/east-pacific-capital-private-limited,"Singapore, Central Region, Singapore",1,Venture capital in Asia and Latin America,Venture Capital,"Private Equity, Seed",Venture Capital,5
Yincubator,https://www.crunchbase.com/organization/yincubator,"Singapore, Central Region, Singapore",,Yincubator is a boutique independent investment firm.,Micro VC,"Early Stage Venture, Seed","Finance, Financial Services",5
QCP Capital,https://www.crunchbase.com/organization/qcp-capital,"Singapore, Central Region, Singapore",,QCP Capital is a digital asset trading firm.,Venture Capital,,"Consulting, Cryptocurrency, Financial Services, Venture Capital",4
MegaOne Ventures,https://www.crunchbase.com/organization/mega-one-partners,"Singapore, Central Region, Singapore",,MegaOne Ventures help investors find promising companies in Southeast Asia.,"Micro VC, Venture Capital","Early Stage Venture, Non Equity Assistance, Seed","Consulting, Financial Services, Venture Capital",4
She1K,https://www.crunchbase.com/organization/she1k,"Singapore, Central Region, Singapore",,She1K is a first global private corporate executive women network and collective angel fund.,Micro VC,Seed,,4
Tuas Capital Partners,https://www.crunchbase.com/organization/tuas-capital-partners,"Singapore, Central Region, Singapore",,"Tuas Capital Partners is a private equity investment company that invests in, supports, and accelerate businesses’ growth.",Venture Capital,"Early Stage Venture, Seed",,4
BANSEA,https://www.crunchbase.com/organization/bansea,"Singapore, Central Region, Singapore",,"BANSEA is an angel investment community to provide outside venture capital for established, and startup businesses.","Micro VC, Venture Capital",,"Angel Investment, Finance, Financial Services",4
Jubilee Capital Management,https://www.crunchbase.com/organization/jubilee-capital-management,"Singapore, Central Region, Singapore",,Jubilee Capital Management is a venture capital firm that invests in early-stage tech startups and across different markets.,Venture Capital,Early Stage Venture,Venture Capital,4
ID Capital,https://www.crunchbase.com/organization/id-capital-b1e8,"Singapore, Central Region, Singapore",,ID Capital focuses on investing in early-stage agritech and foodtech startups.,"Micro VC, Venture Capital",Early Stage Venture,"AgTech, Financial Services, Food and Beverage",4
Verge HealthTech Fund,https://www.crunchbase.com/organization/verge-healthtech-fund,"Singapore, Central Region, Singapore",,Verge HealthTech Fund is a global healthcare technology companies.,Venture Capital,Seed,,4
Prestellar Ventures,https://www.crunchbase.com/organization/prestellar-ventures,"Singapore, Central Region, Singapore",,Prestellar Ventures is an early-stage VC fund that seeks to partner with passionate entrepreneurs and disruptive startups,Venture Capital,"Early Stage Venture, Seed","Finance, Social Entrepreneurship, Venture Capital",4
Ethos Partners,https://www.crunchbase.com/organization/ethos-partners-5d9d,"Singapore, Central Region, Singapore",,Ethos Partners is an early-stage venture investment firm.,Venture Capital,"Early Stage Venture, Private Equity, Venture","Finance, Financial Services",4
Mountain Pine Capital,https://www.crunchbase.com/organization/mountain-pine-capital,"Singapore, Central Region, Singapore",,Mountain Pine Capital is a private investment company and advisory firm.,Venture Capital,,,4
INSEADAlum Ventures,https://www.crunchbase.com/organization/inseadalum-ventures,"Singapore, Central Region, Singapore",,INSEADAlum Ventures (IAV) is a VC arm of international business school operator INSEAD,"Micro VC, Venture Capital",,Venture Capital,4
Frankel iCapital Holdings,https://www.crunchbase.com/organization/frankel-icapital-holdings,"Singapore, Central Region, Singapore",1,Internet VC founded by tech leaders,"Incubator, Venture Capital",,"Information Technology, Internet, Software",4
JAIC Asia Capital,https://www.crunchbase.com/organization/jaic-asia-capital,"Singapore, Central Region, Singapore",,"JAIC Asia Capital is a member of Japan Asia Investment Co. Ltd. It was established in 1994 as Yamaichi Asia Venture Capital Pte Ltd, and",Venture Capital,,,4
Gaiax Global Marketing & Ventures,https://www.crunchbase.com/organization/gaiax-global-marketing-ventures,"Singapore, Central Region, Singapore",,Gaiax Global Marketing & Ventures conducts research and makes investments in infocommunications companies.,Venture Capital,Early Stage Venture,,4
Marvelstone Group,https://www.crunchbase.com/organization/marvelstone-group,"Singapore, Central Region, Singapore",,Marvelstone Group​ ​is a private investment group that develops and invests in growing businesses globally.,"Private Equity Firm, Venture Capital","Convertible Note, Debt, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Secondary Market, Seed","Finance, Financial Services, Real Estate, Venture Capital",3
Defiance Capital,https://www.crunchbase.com/organization/defiance-capital-96c1,"Singapore, Central Region, Singapore",,Defiance Capital is a Decentralized Finance (DeFi) focused cryptoasset fund.,Venture Capital,,,3
Reefknot Investments,https://www.crunchbase.com/organization/reefknot-investments,"Singapore, Central Region, Singapore",,Reefknot Investments is a high growth technology businesses seeking to transform the supply chain and logistics industry.,Venture Capital,,Logistics,3
Asia Partners Fund Management,https://www.crunchbase.com/organization/asia-partners-6ea8,"Singapore, Central Region, Singapore",,Asia Partners are a growth equity firm focusing on investments in technology and technology-enabled companies.,Venture Capital,Early Stage Venture,,3
Schulze Global Investments Limited,https://www.crunchbase.com/organization/schulze-global-investments-limited,"Singapore, Central Region, Singapore",,Schulze Global Investments Limited is a private investment firm focused on the world's most dynamic growth markets.,Venture Capital,,"Financial Services, FinTech",3
Esco Ventures,https://www.crunchbase.com/organization/lin-xiang-qian,"Singapore, Central Region, Singapore",,"Esco Ventures invests at the early stage in life sciences tools & diagnostics, women's health and therapeutics.",Corporate Venture Capital,"Early Stage Venture, Seed","Biotechnology, Health Care, Health Diagnostics",3
Kamet Capital Partners,https://www.crunchbase.com/organization/kamet-capital-partners,"Singapore, Central Region, Singapore",,Kamet Capital Partners,"Family Investment Office, Venture Capital",,,3
Aurum Investments,https://www.crunchbase.com/organization/aurum-investments,"Singapore, Central Region, Singapore",,Aurum Investments is a subsidiary of construction group Woh Hup Holdings with a focus on prop tech investments.,Venture Capital,"Early Stage Venture, Late Stage Venture","Asset Management, Real Estate, Real Estate Investment",3
Venturecraft Group,https://www.crunchbase.com/organization/venturecraft-group,"Singapore, Central Region, Singapore",,"Venturecraft Group, is a private investment group and venture capital platform that provides working capital",Venture Capital,,"Banking, Finance, Venture Capital",3
Block Crafters Capital,https://www.crunchbase.com/organization/block-crafters-capital,"Singapore, Central Region, Singapore",,Block Crafters Capital is a subsidiary of Block Crafters which provides professional asset management and crypto fund service.,Venture Capital,"Early Stage Venture, Initial Coin Offering, Seed",,3
BlueRed Partners,https://www.crunchbase.com/organization/bluered-partners,"Singapore, Central Region, Singapore",,BlueRed Partners is the leading VC fund for Israeli startups expanding into Asian markets,Venture Capital,"Early Stage Venture, Late Stage Venture",,3
IncubAsia Ventures,https://www.crunchbase.com/organization/incubasia-ventures,"Singapore, Central Region, Singapore",2,IncubAsia Ventures is a venture capital that works with early-stage technology companies in the expanding Asian markets.,Micro VC,,"Angel Investment, Financial Services, Venture Capital",3
Link VC,https://www.crunchbase.com/organization/link-vc,"Singapore, Central Region, Singapore",,LinkVC committed to serving outstanding companies and developers in the field of blockchain.,"Micro VC, Venture Capital",Early Stage Venture,,3
RAPZO CAPITAL,https://www.crunchbase.com/organization/rapzo-capital,"Singapore, Central Region, Singapore",,RAPZO CAPITAL family office,Family Investment Office,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,3
Spaze Ventures,https://www.crunchbase.com/organization/spaze-ventures,"Singapore, Central Region, Singapore",1,A startup incubator and seed capital firm based in Singapore. ,"Incubator, Venture Capital",Seed,,3
Heritas Venture Fund,https://www.crunchbase.com/organization/heritas-venture-fund,"Singapore, Central Region, Singapore",,Heritas Venture Fund,Venture Capital,"Early Stage Venture, Late Stage Venture",,3
IDM Venture Capital,https://www.crunchbase.com/organization/idm-venture-capital,"Singapore, Central Region, Singapore",1,IDM Venture Capital is a Singaporean venture capital fund that invests in high-growth digital media companies.,Venture Capital,,"Financial Services, Venture Capital",3
Silicon Straits,https://www.crunchbase.com/organization/silicon-straits,"Singapore, Central Region, Singapore",,Silicon Straits is a tech venture foundry that focuses on startups and early-stage companies operating in Southeast Asia.,Venture Debt,Seed,"Business Intelligence, Information Technology, Mobile, Product Design",3
ST Engineering Ventures Fund,https://www.crunchbase.com/organization/st-engineering-ventures,"Singapore, Central Region, Singapore",,Venture capital unit of ST Engineering .,Corporate Venture Capital,Early Stage Venture,,3
Luminor Capital,https://www.crunchbase.com/organization/luminor-capital,"Singapore, Central Region, Singapore",1,Luminor Capital is a Private Equity group headquarted in Singapore. Their objective is to create value and achieve investment returns from,Venture Capital,Late Stage Venture,,3
Upstream Ventures,https://www.crunchbase.com/organization/upstream-ventures,"Singapore, Central Region, Singapore",,"Upstream Ventures is a venture capital firm focused on early stage companies across Singapore, India, and China.",Venture Capital,"Early Stage Venture, Seed",,3
ComfortDelGro Capital Partners,https://www.crunchbase.com/organization/comfortdelgro-capital-partners,"Singapore, Central Region, Singapore",,"ComfortDelGro Capital Partners is the global fund will focus on ""next-generation mobility companies",Corporate Venture Capital,Venture,,3
Unlimited Capital,https://www.crunchbase.com/organization/unlimited-capital,"Singapore, Central Region, Singapore",,Unlimited Capital focuses on venture investments in high-tech projects and startups on different stages.,Venture Capital,,"Augmented Reality, Digital Media, Venture Capital",3
YSS Capital,https://www.crunchbase.com/organization/yss-capital,"Singapore, Central Region, Singapore",,"YSS Capital specializes in rubber manufacturing, art collection, venture capital, real estate investments, and financial investments.",Venture Capital,,,3
Kathrein Ventures,https://www.crunchbase.com/organization/kathrein-ventures,"Singapore, Central Region, Singapore",1,Kathrein Ventures is a micro-venture capital fund that finances startups in Southeast Asia and Latin America.,Micro VC,Seed,,3
Green Dot Capital,https://www.crunchbase.com/organization/green-dot-capital,"Singapore, Central Region, Singapore",2,"Green Dot Capital Pte, Ltd., an e-business company, invests in information technology and e-business startups in Asia and the United",Venture Capital,,,3
Dunamis Ventures,https://www.crunchbase.com/organization/dunamis-ventures,"Singapore, Central Region, Singapore",,Dunamis Ventures is a financial services company that specializes in the fields of private equity investment partnership.,Venture Capital,,,3
Asia Pacific Growth Management,https://www.crunchbase.com/organization/asia-pacific-growth-management,"Singapore, Central Region, Singapore",,Asia Pacific Growth Management is an independent consulting firm that focuses on helping companies grow.,Venture Capital,,"Business Development, Consulting",3
Zana Capital,https://www.crunchbase.com/organization/zana-capital,"Singapore, Central Region, Singapore",,Zana Capital is a venture capital and private equity firm.,"Private Equity Firm, Venture Capital","Private Equity, Venture",,3
