Organization/Person Name,Organization/Person Name URL,Location,Number of Exits,Description,Investor Type,Investment Stage,Industries,Number of Investments
FundedHere,https://www.crunchbase.com/organization/fundedhere,"Singapore, Central Region, Singapore",,FundedHere Discover the region's most exciting startups and be part of the entrepreneur's journey.,Venture Capital,,"Crowdfunding, Finance, FinTech, Lending",2
Capital Impetus Group,https://www.crunchbase.com/organization/capital-impetus-group,"Singapore, Central Region, Singapore",,Global Financial Holding Company,"Corporate Venture Capital, Investment Bank, Private Equity Firm",Private Equity,"Food and Beverage, Gaming, Manufacturing, Medical Device, Retail, Travel",2
Aglaia Family Office,https://www.crunchbase.com/organization/aglaia-family-office,"Singapore, Central Region, Singapore",,Aglaia Family Office provide comprehensive and bespoke family office services to ultra high net worth families.,Family Investment Office,,Financial Services,2
J Capital,https://www.crunchbase.com/organization/j-capital,"Singapore, Central Region, Singapore",,"J Capital is an investment firm primarily focused on ventures, tokens and project .",Venture Capital,Early Stage Venture,,2
ARA Asset Management,https://www.crunchbase.com/organization/ara-asset-management,"Singapore, Central Region, Singapore",1,ARA Asset Management Limited (“ARA”) is a premier integrated real estate fund manager in Asia.,Venture Capital,,,2
GBCI Ventures,https://www.crunchbase.com/organization/gbci-ventures,"Singapore, Central Region, Singapore",,GBCI Ventures is the leading smart city solutions provider.,Venture Capital,"Early Stage Venture, Seed","Financial Services, Venture Capital",2
Coffee Ventures,https://www.crunchbase.com/organization/coffee-ventures,"Singapore, Central Region, Singapore",,"Micro-VC supporting startups addressing SEA markets - Sectors include health & wellness, education, finance, enterprise, AI and marketplace.",Micro VC,"Early Stage Venture, Seed","Financial Services, Venture Capital",2
High Output Ventures,https://www.crunchbase.com/organization/high-output-ventures,"Singapore, Central Region, Singapore",,High Output Ventures is a seed stage fund and startup studio.,Venture Capital,Seed,Information Technology,2
Jetty Ventures,https://www.crunchbase.com/organization/jetty-ventures,"Singapore, Central Region, Singapore",,Jetty Ventures invest in high growth and value models.,Venture Capital,Early Stage Venture,,2
Nalanda Capital,https://www.crunchbase.com/organization/nalanda-capital,"Singapore, Central Region, Singapore",2,Nalanda is making the information available on this website as a public service,Venture Capital,,,2
X Capital Ventures,https://www.crunchbase.com/organization/x-capital-ventures,"Singapore, Central Region, Singapore",,X Capital Ventures is an investment group that invests opportunistically in Seed to Series B ventures.,Venture Capital,"Early Stage Venture, Seed",Financial Services,2
AIRMESH,https://www.crunchbase.com/organization/airmesh,"Singapore, Central Region, Singapore",,Enabling Connected Life,Corporate Venture Capital,"Early Stage Venture, Secondary Market, Seed","Advertising Platforms, Artificial Intelligence, Communications Infrastructure, Internet, Internet of Things, Location Based Services, Machine Learning",2
Orchard Global Asset Management,https://www.crunchbase.com/organization/orchard-global-asset-management,"Singapore, Central Region, Singapore",1,Orchard Global Asset Management (“OGAM”) is a leading global alternatives asset management firm.,"Private Equity Firm, Venture Capital",,Financial Services,2
Endeavour Ventures,https://www.crunchbase.com/organization/endeavour-ventures-c7ad,"Singapore, Central Region, Singapore",,Seed-stage sector agnostic venture in Southeast Asia,Micro VC,Seed,,2
Makara Capital,https://www.crunchbase.com/organization/makara-capital,"Singapore, Central Region, Singapore",,Makara Capital is a global financial services company that specializes in fund management as well as structuring and financing.,Venture Capital,"Early Stage Venture, Late Stage Venture","Financial Services, FinTech, Venture Capital",2
Small World Group,https://www.crunchbase.com/organization/small-world-group,"Singapore, Central Region, Singapore",,SMALL WORLD GROUP knows the planet is small and the population huge. So we align with sustainability. MAKE A 1% ∆: Startups with ambition,Venture Capital,,"Collaboration, Energy, Incubators",2
The Renewable Energy Corporation,https://www.crunchbase.com/organization/the-renewable-energy-corporation,"Singapore, Central Region, Singapore",,The Renewable Energy Corporation is a solar power company.,Venture Capital,,"Energy, Solar",2
Amereus Group,https://www.crunchbase.com/organization/amereus-group,"Singapore, Central Region, Singapore",,"Founded in 2015 and headquartered in Singapore, Amereus Group is a private equity company that invests in tech ventures globally",Venture Capital,"Early Stage Venture, Private Equity",,2
Mercatus Capital,https://www.crunchbase.com/organization/mercatus-capital,"Singapore, Central Region, Singapore",,"Mercatus helps connecting with investors and business angels, as well as providing seed capital ourselves to get innovative projects.",Venture Capital,Early Stage Venture,,2
Calibre Ventures,https://www.crunchbase.com/organization/calibre-ventures,"Singapore, Central Region, Singapore",,Calibre Ventures invests in enterprise technology start-ups looking for institutional capital to accelerate growth.,Venture Capital,Early Stage Venture,,2
Blockasset Ventures,https://www.crunchbase.com/organization/blockasset-ventures,"Singapore, Central Region, Singapore",,We leverage our years of experience in the digital asset space and blockchain projects,Venture Capital,,Blockchain,2
CES Edutech,https://www.crunchbase.com/organization/ces-edutech,"Singapore, Central Region, Singapore",,CES Edutech is an education investment company with a particular focus on the education technology sector in Asia.,Venture Capital,"Debt, Early Stage Venture","EdTech, Education",2
CIH Investment Capital Limited,https://www.crunchbase.com/organization/cih-investment-capital-limited,"Singapore, Central Region, Singapore",,"CIH Investment Capital Limited is a service provider involved in banking, insurance, asset management, investments and micro finance.",Venture Capital,,,2
Extream Ventures,https://www.crunchbase.com/organization/extream-ventures,"Singapore, Central Region, Singapore",,"Established in Singapore in 2009, Extream Ventures is an early-stage venture capital firm targeting market-driven technology companies.","Micro VC, Venture Capital","Early Stage Venture, Seed",,2
Global Investments,https://www.crunchbase.com/organization/global-investment,"Singapore, Central Region, Singapore",,Global Investments seeks opportunities in a wide range of asset classes in different sectors through investments.,Micro VC,,,2
GMCM Venture Capital Partners,https://www.crunchbase.com/organization/gmcm-venture-capital-partners,"Singapore, Central Region, Singapore",1,"GMCM Venture Capital Partners was established by GM Capital Management, an independent asset management company.",Venture Capital,,,2
Thakral Group,https://www.crunchbase.com/organization/thakral-group,"Singapore, Central Region, Singapore",,Thakral Group Singapore-based company.,Venture Capital,,,2
Springboard-Harper,https://www.crunchbase.com/organization/springboard-harper,"Singapore, Central Region, Singapore",1,"Being strategically located in Singapore, the firm is in an optimal position to bridge technology businesses from both sides looking to",Venture Capital,Late Stage Venture,,2
Sansar Capital,https://www.crunchbase.com/organization/sansar-capital,"Singapore, Central Region, Singapore",,Sansar Capital was founded in 2005,"Micro VC, Venture Capital",,,2
Spondulix,https://www.crunchbase.com/organization/spondulix,"Singapore, Central Region, Singapore",,Enabling the Future of Technology by Investing in Pathbreaking Entrepreneurs,Family Investment Office,"Early Stage Venture, Seed",,2
Vertex Asia Fund,https://www.crunchbase.com/organization/vertex-asia-fund,"Singapore, Central Region, Singapore",1,Vertex Asia Fund is a family of funds investing in early stage companies around the world.,Venture Capital,,Finance,2
GITPx,https://www.crunchbase.com/organization/gitpx,"Singapore, Central Region, Singapore",1,GITPx Investments is a corporate investor focusing on start-up and seed companies.,"Angel Group, Venture Capital","Early Stage Venture, Seed","Angel Investment, Finance, Financial Services",2
Agri Investments Pte. Ltd,https://www.crunchbase.com/organization/agri-investments-pte-ltd,"Singapore, Central Region, Singapore",,Agri Investments invests in agricultural technology and cultivation.,Venture Capital,,,2
Sirius Angel Fund,https://www.crunchbase.com/organization/sirius-angel-fund,"Singapore, Central Region, Singapore",,Sirius Angel Fund is a business angel fund that invests in early-stage companies.,Venture Capital,Early Stage Venture,,2
Soltec Investments,https://www.crunchbase.com/organization/soltec-investments,"Singapore, Central Region, Singapore",1,Soltec Investments is an investment business based in Singapore.,Venture Capital,,,2
Dragon Group,https://www.crunchbase.com/organization/dragon-group,"Singapore, Central Region, Singapore",,Dragon Group is an investment holding company that distributes semiconductors and electric components.,Venture Capital,,"Computer, Electronics, Manufacturing, Virtual Reality",1
Scry.info,https://www.crunchbase.com/organization/scry-info,"Singapore, Central Region, Singapore",,"Scry.info is the world's first blockchain-based quantitative data providing and exchanging platform for storage, verification.",Venture Capital,Early Stage Venture,"Blockchain, Data Storage, Financial Exchanges",1
Blue Ashva Capital,https://www.crunchbase.com/organization/blue-ashva-capital,"Singapore, Central Region, Singapore",,Blue Ashva Capital is an investment Fund that is backing sustainable and long-term profitable businesses.,Venture Capital,"Early Stage Venture, Seed",,1
BEAMSTART,https://www.crunchbase.com/organization/beam-connect,"Singapore, Central Region, Singapore",,"BEAMSTART is a Seed Accelerator and Digital Hub for Startup News, Business Networking, and Learning Resources.","Accelerator, Micro VC, Private Equity Firm, Syndicate, Venture Capital","Convertible Note, Early Stage Venture, Seed","Business Development, Information Technology, Internet, Messaging, Venture Capital",1
Keppel Capital,https://www.crunchbase.com/organization/keppel-capital,"Singapore, Central Region, Singapore",,Keppel Capital is a premier asset manager in Asia,Corporate Venture Capital,,Financial Services,1
Touchstone Ventures,https://www.crunchbase.com/organization/touchstone-ventures-2,"Singapore, Central Region, Singapore",,Touchstone Ventures is a boutique advisory firm.,Venture Capital,,,1
Venturi Partners,https://www.crunchbase.com/organization/venturi-partners,"Singapore, Central Region, Singapore",,Venturi Partners is a venture capital firm.,Venture Capital,Early Stage Venture,Venture Capital,1
Clime Capital,https://www.crunchbase.com/organization/clime-capital,"Singapore, Central Region, Singapore",,"Clime Capital Management identifies, incubates, and scales innovative clean-energy investment platforms.",Venture Capital,,,1
Far East Organization,https://www.crunchbase.com/organization/far-east-organization,"Singapore, Central Region, Singapore",,Far East Organization is the largest private property developer in Singapore. It was founded by Singaporean billionaire Ng Teng Fong in,"Corporate Venture Capital, Family Investment Office","Early Stage Venture, Late Stage Venture, Venture","Property Development, Real Estate",1
Origgin Ventures,https://www.crunchbase.com/organization/origgin-ventures,"Singapore, Central Region, Singapore",,Origgin’s Venture Co-Creation (VCC™) process enables the growth of exciting businesses that are ready to embark on the journey of success.,"Incubator, Syndicate, University Program, Venture Capital","Early Stage Venture, Seed",,1
Ruby Capital,https://www.crunchbase.com/organization/ruby-capital,"Singapore, Central Region, Singapore",,Ruby Capital investing in and work closely with innovative high-tech startups.,Venture Capital,"Early Stage Venture, Seed",,1
Lonsdale Capital,https://www.crunchbase.com/organization/lonsdale-capital,"Singapore, Central Region, Singapore",,Lonsdale Capital is a family investment office that funds social enterprises to bring them to the next level.,Family Investment Office,,"Finance, Financial Services, Impact Investing",1
AAIC Holdings,https://www.crunchbase.com/organization/aaic-holdings,"Singapore, Central Region, Singapore",,"AAIC Holdings is engages in nurturing investments in emerging countries, consulting and M&A, management outsourcing and human capital.",Venture Capital,Early Stage Venture,,1
Altergate.vc,https://www.crunchbase.com/organization/altergate-vc,"Singapore, Central Region, Singapore",,Altergate.vc investing in technology startups at an early stage.,Venture Capital,"Early Stage Venture, Seed",,1
RF International Holdings (瑞丰国际控股),https://www.crunchbase.com/organization/rf-international-holdings,"Singapore, Central Region, Singapore",,Integrated Digital Financial Group,"Corporate Venture Capital, Fund Of Funds, Private Equity Firm, Syndicate, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity","Consulting, Finance, Financial Services, Information Technology",1
Olive Ventures,https://www.crunchbase.com/organization/olive-ventures,"Singapore, Central Region, Singapore",1,Olive Ventures is a company that specializes in business development services.,Venture Capital,Early Stage Venture,,1
Inflection Ventures,https://www.crunchbase.com/organization/inflection-ventures,"Singapore, Central Region, Singapore",,Inflection Ventures is a financial firm that invests in startup and small businesses.,"Angel Group, Venture Capital",,,1
Investigate,https://www.crunchbase.com/organization/investigate,"Singapore, Central Region, Singapore",,Investigate is a VC investing in startups with the Network Orchestrator business model.,Micro VC,Seed,,1
1823 Ventures,https://www.crunchbase.com/organization/1823-ventures-3,"Singapore, Central Region, Singapore",,"Venture Capital | Startup Mentorship | SEA, China, HK",Venture Capital,"Crowdfunding, Debt, Early Stage Venture, Seed",,1
Inheritance Enterprises,https://www.crunchbase.com/organization/inheritance-enterprises,"Singapore, Central Region, Singapore",,Inheritance Enterprises is a family office and an investment holding company.,Family Investment Office,,,1
Triple P Capital,https://www.crunchbase.com/organization/triple-p-capital,"Singapore, Central Region, Singapore",,Triple P Capital is an expert investor in Southeast Asian non-bank financial services and on on high-growth businesses.,Venture Capital,Private Equity,Financial Services,1
TNB Ventures,https://www.crunchbase.com/organization/tnb-ventures,"Singapore, Central Region, Singapore",,TNB Ventures operates as a venture capital firm and accelerator.,"Accelerator, Venture Capital",,Venture Capital,1
Block by Block Capital,https://www.crunchbase.com/organization/block-by-block-capital,"Singapore, Central Region, Singapore",,Asset Management & VC Accelerator,"Accelerator, Hedge Fund, Incubator, Venture Capital","Early Stage Venture, Initial Coin Offering, Seed","Asset Management, Blockchain, Hedge Funds, Management Consulting, Venture Capital",1
Pandan Ventures,https://www.crunchbase.com/organization/pandan-ventures,"Singapore, Central Region, Singapore",,Pandan Ventures is ​a venture capital fund based in Southeast Asia,Venture Capital,Early Stage Venture,,1
SEAVI Advent,https://www.crunchbase.com/organization/seavi-advent,"Singapore, Central Region, Singapore",,SEAVI (“South East Asia Venture Investment”) Advent was the first venture capital firm established in the South East Asia region in 1984.,Venture Capital,Early Stage Venture,,1
Farquhar VC,https://www.crunchbase.com/organization/farquhar-vc,"Singapore, Central Region, Singapore",,Farquhar VC operates as an early stage venture capital firm.,Venture Capital,Early Stage Venture,,1
Arohi Asset Management,https://www.crunchbase.com/organization/arohi-asset-management,"Singapore, Central Region, Singapore",,Arohi Asset Management is a boutique fund manager with capital market services licence to conduct fund management activities.,"Micro VC, Venture Capital",,,1
Asia Cleantech Capital Ltd,https://www.crunchbase.com/organization/asia-cleantech-capital-ltd,"Singapore, Central Region, Singapore",1,Asia Cleantech Capital is an investment management firm that focuses on clean technology projects in the Asia Pacific region.,"Micro VC, Venture Capital",Seed,"Finance, Financial Services, Venture Capital",1
Ascent Capital Partners,https://www.crunchbase.com/organization/ascent-capital-partners,"Singapore, Central Region, Singapore",,Ascent Capital Partners is a focused investment firm,Venture Capital,Early Stage Venture,,1
Element 8 Group,https://www.crunchbase.com/organization/element-8-group,"Singapore, Central Region, Singapore",,Element 8 provides an enterprise ecosystem to derive growth within its venture firms while advancing its research activities.,"Angel Group, Family Investment Office, Syndicate, Venture Capital","Early Stage Venture, Venture",,1
Makana Ventures,https://www.crunchbase.com/organization/makana-ventures,"Singapore, Central Region, Singapore",,Makana Ventures is a Singapore based collective and hybrid venture group.,Venture Capital,Early Stage Venture,,1
Caber Partners,https://www.crunchbase.com/organization/caber-financial,"Singapore, Central Region, Singapore",,"Caber Partners is a Singapore-based investment firm, focused exclusively on the intersection of finance and technology.",Venture Capital,Venture,"Advice, Asset Management, FinTech, Venture Capital",1
Eight Mercatus,https://www.crunchbase.com/organization/eight-mercatus,"Singapore, Central Region, Singapore",,Eight Mercatus is an innovative startup.,Venture Capital,Early Stage Venture,,1
Cerana Capital,https://www.crunchbase.com/organization/cerana-capital,"Singapore, Central Region, Singapore",,Seed & Series A investments into Tech and F&B in Southeast Asia,"Private Equity Firm, Venture Capital","Convertible Note, Early Stage Venture, Private Equity, Seed","AgTech, E-Commerce, Food and Beverage, Information Technology, Software",1
Lynx Asia Partners,https://www.crunchbase.com/organization/lynx-asia-partners,"Singapore, Central Region, Singapore",,Lynx Asia Partners is an advisory firm that focuses on private capital markets and special situations.,Venture Capital,,,1
TechnoGen,https://www.crunchbase.com/organization/technogen,"Singapore, Central Region, Singapore",,TechnoGen is an integrated portfolio of end-to-end creation of technology and subsequent services.,Micro VC,,"Financial Services, Information Services, Information Technology",1
ZIG Ventures,https://www.crunchbase.com/organization/zig-ventures,"Singapore, Central Region, Singapore",,ZIG Ventures is a venture investment and commercialization company.,Venture Capital,Early Stage Venture,,1
JL Capital,https://www.crunchbase.com/organization/jl-capital,"Singapore, Central Region, Singapore",,JL Capital is an investment company that manages mutual funds.,Venture Capital,Early Stage Venture,,1
THYNK GROUP,https://www.crunchbase.com/organization/thynk-group,"Singapore, Central Region, Singapore",,THYNK GROUP invests in new innovation sources and methods that includes new business practices and partnerships.,Venture Capital,,"Angel Investment, Business Development, Consulting, GreenTech, Impact Investing",1
Citicorp Investment Bank,https://www.crunchbase.com/organization/citicorp-investment-bank,"Singapore, Central Region, Singapore",1,Citicorp Investment Bank owns securities of banks for exercising degree of control over the activities of bank companies.,Venture Capital,,,1
Asia Internet Holdings,https://www.crunchbase.com/organization/asia-internet-holdings,"Singapore, Central Region, Singapore",,Asia Internet Holdings is a private investment firm focused on seed investments.,Venture Capital,Seed,,1
NTU Ventures,https://www.crunchbase.com/organization/ntu-ventures,"Singapore, Central Region, Singapore",,"NTU Ventures, the commercial arm of NTU, supports start-ups in various industries while focusing on the technologies from NTU's research.","Corporate Venture Capital, Venture Capital",Seed,,1
Glocalink Singapore,https://www.crunchbase.com/organization/glocalink-singapore,"Singapore, Central Region, Singapore",,Glocalink Singapore invests in early-stage agrifood startups.,Venture Capital,Early Stage Venture,,1
Mars Growth Capital,https://www.crunchbase.com/organization/mars-growth-capital,"Singapore, Central Region, Singapore",,Mars Growth Capital provide growth capital to fuel your journey.,Venture Capital,"Debt, Venture",,1
Bitrise Capital,https://www.crunchbase.com/organization/bitrise-capital,"Singapore, Central Region, Singapore",,Bitrise Capital is a venture capital in blockchain investment.,Venture Capital,,,1
Finn Evdemon Capital Partners,https://www.crunchbase.com/organization/finn-evdemon-capital-partners,"Singapore, Central Region, Singapore",,"Finn Evdemon Capital Partners is an Asian angel investments firm that fosters entrepreneurship and provides funding, expertise.","Micro VC, Venture Capital",,"Angel Investment, Finance, Venture Capital",1
Primrose Hills Ventures,https://www.crunchbase.com/organization/primrose-hills-ventures,"Singapore, Central Region, Singapore",,Primrose Hills Ventures operates as a venture capital firm.,Venture Capital,Early Stage Venture,,1
Rippledot Capital Advisers,https://www.crunchbase.com/organization/rippledot-capital-advisers,"Singapore, Central Region, Singapore",1,"Rippledot Capital is an independent strategic and financial adviser to corporates, entrepreneurs, and investors.",Venture Capital,,,1
Biopath Ventures,https://www.crunchbase.com/organization/biopath-ventures,"Singapore, Central Region, Singapore",,Biopath Ventures is an investment Firm.,Venture Capital,,Biotechnology,1
Triplestar Capital,https://www.crunchbase.com/organization/triplestar-capital,"Singapore, Central Region, Singapore",,Triplestar Capital is an investment company established by the 3rd generation of the family behind the Tat Hong Group of businesses.,Venture Capital,,,1
Pierce & Pierce Group,https://www.crunchbase.com/organization/pierce-pierce-group,"Singapore, Central Region, Singapore",1,Pierce & Pierce is a privately held investment group.,"Micro VC, Venture Capital",,,1
SeaTown International,https://www.crunchbase.com/organization/seatown-international,"Singapore, Central Region, Singapore",1,SeaTown International is a financial institution which made investments in public and private sectors.,Venture Capital,,,1
Forum Capital,https://www.crunchbase.com/organization/forum-capital,"Singapore, Central Region, Singapore",,Forum Capital is an investment and strategic advisory firm specialized in venture building and supporting growth companies.,Venture Capital,,,1
AsiaCommerce,https://www.crunchbase.com/organization/asia-commerce,"Singapore, Central Region, Singapore",,AsiaCommerce provides venture capital funding for e-commerce business-to-business sector.,Venture Capital,,,1
Uluwatu Capital,https://www.crunchbase.com/organization/uluwatu-capital,"Singapore, Central Region, Singapore",,"Uluwatu Capital is a unique Impact focused venture capital firm, using investments as a force for good.",Venture Capital,Early Stage Venture,,1
Tenshi Peak Ventures,https://www.crunchbase.com/organization/tenshi-peak-ventures,"Singapore, Central Region, Singapore",,Tenshi Peak Ventures is a company that offers investing and consulting services.,"Micro VC, Venture Capital",Seed,,1
Oclaner Asset Management,https://www.crunchbase.com/organization/oclaner-asset-management,"Singapore, Central Region, Singapore",,Oclaner Asset Management is an independent asset management firm and Capital Markets Services license holder.,Family Investment Office,,"Asset Management, Financial Services",1
Ready Ventures,https://www.crunchbase.com/organization/ready-ventures,"Singapore, Central Region, Singapore",,"ReadyVentures is a boutique, early stage investment company.",Micro VC,,,1
SpinUp Venture,https://www.crunchbase.com/organization/spinup-vc,"Singapore, Central Region, Singapore",,SpinUp Venture a venture capital firm investing in early-stage technology companies with strong teams and clear global potential.,Venture Capital,,"Finance, FinTech",1
STRATEGEM PTE LTD,https://www.crunchbase.com/organization/strategem-pte-ltd,"Singapore, Central Region, Singapore",,STRATEGEM PTE LTD is a search consultancy specialised in financial markets in the Asia region.,Venture Capital,,,1
Half the World Holdings,https://www.crunchbase.com/organization/half-the-world-holdings,"Singapore, Central Region, Singapore",,Half the World Holdings is a venture capital investment vertical and literary award which highlights the lives of women.,Venture Capital,Venture,,1
Gabelhorn Investment,https://www.crunchbase.com/organization/gabelhorn-investment,"Singapore, Central Region, Singapore",,Gabelhorn Investment is an investment firm.,Venture Capital,Late Stage Venture,,1
Sysma Holdings,https://www.crunchbase.com/organization/sysma-holdings,"Singapore, Central Region, Singapore",,Sysma Holdings is principally engaged in providing building construction services to the private sector in Singapore.,Corporate Venture Capital,,"Civil Engineering, Construction",1
Investigate Network Capital,https://www.crunchbase.com/organization/investigate-network-capital,"Singapore, Central Region, Singapore",,Investigate is a Singapore-based VC investing in startups with the Network Orchestrator business model – companies.,Venture Capital,"Early Stage Venture, Seed",,1
JP Asia Prime Capital,https://www.crunchbase.com/organization/asia-prime-capital,"Singapore, Central Region, Singapore",,JP Asia Prime Capital Pte Ltd,Venture Capital,,,1
TIBCORP,https://www.crunchbase.com/organization/tibcorp-03d6,"Singapore, Central Region, Singapore",,Private Investment Firm based in Singapore,Family Investment Office,Early Stage Venture,,1
Puffer Ventures,https://www.crunchbase.com/organization/puffer-ventures,"Singapore, Central Region, Singapore",,Puffer Ventures,Venture Capital,,,1
WPGrowth Ventures,https://www.crunchbase.com/organization/wpgrowth-ventures,"Singapore, Central Region, Singapore",,WPGrowth Ventures is a Exempt Private Company.,Venture Capital,,Venture Capital,1
Green Marine Capital,https://www.crunchbase.com/organization/green-marine-capital,"Singapore, Central Region, Singapore",1,Green Marine Capital is a sector specific growth capital investor.,Venture Capital,,Financial Services,1
Northbrooks Investments,https://www.crunchbase.com/organization/northbrooks-investments,"Singapore, Central Region, Singapore",,Northbrooks Investments is an investment firm based in Singapore.,Venture Capital,Late Stage Venture,Finance,1
Bukit Timah Capital,https://www.crunchbase.com/organization/bukit-timah-capital,"Singapore, Central Region, Singapore",,Singapore Based Investment Collective,Venture Capital,,,1
Global Asia Partners,https://www.crunchbase.com/organization/global-asia-partners,"Singapore, Central Region, Singapore",,Global Asia Partner is providing services that add or create competitive market value to their clients’ businesses.,Venture Capital,Early Stage Venture,,1
mDR Group,https://www.crunchbase.com/organization/mdr-group,"Singapore, Central Region, Singapore",,mDR Group is one of the largest distributors and retailers of telecommunication products.,Venture Debt,,,1
Electric Sheep Capital,https://www.crunchbase.com/organization/electric-sheep-capital,"Singapore, Central Region, Singapore",,Electric Sheep Capital is a venture capital firm based in Singapore.,Venture Capital,Early Stage Venture,,1
SP Capital,https://www.crunchbase.com/organization/sp-capital,"Singapore, Central Region, Singapore",,SP Capital is a venture arm of Singapore Power.,Venture Capital,,,1
United Offshore Bank Venture Technology Investments,https://www.crunchbase.com/organization/united-offshore-bank-venture-technology-investments,"Singapore, Central Region, Singapore",1,United Offshore Bank Venture Technology Investments,Venture Capital,,,1
